type,lang,lines,pos,snippet_idx
code,bash,"[""keytool -list -v -keystore C:\\Users\\%USERNAME%\\.android\\debug.keystore -alias androiddebugkey -storepass android -keypass android""]",1,1
code,kotlin,"[""import androidx.compose.runtime.getValue"", ""// ..."", ""val navTarget by navVM.navTarget.collectAsState(initial = \""home\"")"", ""// without getValue import:"", ""// Type 'androidx. compose. runtime. State<kotlin. Any?>' has no method 'getValue(Nothing?, KProperty0<*>)', so it cannot serve as a delegate.""]",1,2
code,bash,"[""su -s /bin/bash <user>""]",1,3
code,bash,"[""sudo -E foobar""]",1,4
code,bash,"[""if test -d cisco_bindings; then echo exists; else echo does not; fi""]",1,5
code,,"["".foo"", ""  .bar"", ""  .bar2"", ""  .bar3""]",1,6
code,,"[""body{"", ""  background: black;"", ""}"", ""div{ width: 100px; height: 100px; border: 1px solid white;}"", "".foo{"", ""  width: 80%;"", ""  display: flex;"", ""  position: relative; /* this is crucial! default is `static` _not_ `relative` */"", ""}"", "".bar{"", ""  background: lightgrey;"", ""  position: absolute;"", ""  right: 0;"", ""}""]",2,6
code,css,"[""body{"", ""    max-height: 99vh;"", ""}""]",1,7
code,html,"[""<div id=\""foo\"">"", ""  <p>foo</p>"", ""</div>"", ""<div id=\""bar\"">"", ""  <p>bar</p>"", ""</div>""]",1,8
code,css,"[""#foo{"", ""  position: absolute;"", ""  background: red;"", ""  width: 100px;"", ""  height: 100px;"", ""  left: 50px;"", ""  top: 50px;"", ""  color: black;"", ""  text-align: right;"", ""}"", ""#bar{"", ""  position: absolute;"", ""  background: blue;"", ""  width: 100px;"", ""  height: 100px;"", ""  color: white;"", ""  text-align: right;"", ""  pointer-events: none; /* click + hover are disabled for this */"", ""}""]",2,8
code,typescript,"[""let foo = document.getElementById(\""foo\"") as HTMLElement;"", ""let bar = document.getElementById(\""bar\"") as HTMLElement;"", ""foo.addEventListener(\""mouseover\"", e => console.log(\""foo hover\"")});"", ""foo.addEventListener(\""click\"", e => console.log(\""foo click\"")});"", ""bar.addEventListener(\""mouseover\"", e => console.log(\""bar hover\"")});"", ""bar.addEventListener(\""click\"", e => console.log(\""bar click\"")});""]",3,8
code,css,"[""background:"", ""\tvar(--noise), /* url(\""noise svg here\"") */"", ""\tradial-gradient(circle at center, rgb(255,255,255) 0%, rgba(0,0,0,1) 50%);"", ""background-size: cover;"", ""background-blend-mode: multiply;"", ""mix-blend-mode: screen;""]",1,9
code,bash,"[""cue eval schema.cue --out json""]",1,10
code,bash,"[""curl localhost:3000/workflow -X POST  -H 'Content-Type: application/json' --data-binary \""@data.json\""""]",1,11
code,bash,"[""docker builder prune""]",1,12
code,bash,"[""curl -fsSL https://get.docker.com -o get-docker.sh"", ""sh get-docker.sh"", ""sudo usermod -aG docker $USER"", ""newgrp docker""]",1,13
code,shell,"[""docker ps -a --format \""{{.Names}}\""""]",1,14
code,shell,"[""docker run \\"", ""    ..."", ""    --health-cmd \""set -e;  nc -zv localhost 22; if [ $? -eq 0 ]; then exit 0; else exit 1; fi\"" \\"", ""    --health-interval=10s"", ""    ...""]",1,15
code,bash,"[""# set to working version"", ""DOCKER_API_VERSION=1.41""]",1,17
code,bash,"[""docker ps --format \""{{printf \\\""%-30s %-20s\\\"" .Names .Status}}\""""]",1,19
code,bash,"[""watch 'docker ps --format \""{{printf \\\""%-30s %-20s\\\"" .Names .Status}}\""'""]",2,19
code,bash,"[""git config --global user.email \""you@example.com\"""", ""git config --global user.name \""Your Name\""""]",1,20
code,bash,"[""git config --global credential.helper cache"", ""git config --local credential.helper cache"", ""git config --global --unset credential.helper""]",1,21
code,bash,"[""git clone https://bitbucket.org/<repo>.git --config credential.helper=""]",1,22
code,golang,"[""(func(args... interface{}){})(scrape_cpu, scrape_hostname)""]",1,23
code,golang,"[""go fmt ./...""]",2,23
code,go,"[""type Person struct {"", ""  Name string"", ""}"", ""func (p *Person) Talk() {"", ""  fmt.Println(\""Hi, my name is\"", p.Name)"", ""}"", ""type Android struct {"", ""  Person // Android is also type Person!"", ""  Model string"", ""}"", ""a := new(Android)"", ""a.Person.Talk()"", ""a.Talk() // polymorphism!""]",1,24
text,,"[""  - sync.RWLock()\n""]",1,25
text,,"[""  - sync.Once\n""]",2,25
code,go,"[""var Foo string"", ""// runs like package constructor"", ""func init(){"", ""    Foo = \""foobar\"""", ""}""]",1,26
code,go,"[""func getLastLetterRecursivley(word string) {"", ""    type rFunc func(string, rFunc) // <- allows recursive function to be defined"", ""    var f rFunc = func(word string, f rFunc) {"", ""        if len(word) == 1 {"", ""            fmt.Println(\""Last character is:\"", word)"", ""            return"", ""        }"", ""        f(word[len(word) - 1: ], f)"", ""        return"", ""    }"", ""    go f(x, f)"", ""    for {} // keep function running to we can still print"", ""}""]",1,27
code,go,"[""type StringOrInt interface{"", ""\tstring | int"", ""}"", ""func main() {"", ""\t{"", ""\t\tvar x = foo[int]()"", ""\t\tfmt.Println(x)"", ""\t}"", ""\t{"", ""\t\tvar x = foo[string]()"", ""\t\tfmt.Println(x)"", ""\t}"", ""\t{"", ""\t\tvar x = foo[bool]() // err"", ""\t\tfmt.Println(x)"", ""\t}"", ""}"", ""func foo[T StringOrInt]() []T {"", ""\tvar x T"", ""\treturn []T{x}"", ""}""]",1,28
code,golang,"[""value, exists := foo[\""bar\""]"", ""if (!exists) {}""]",1,30
