type,lang,lines,pos,snippet_idx
code,bash,keytool -list -v -keystore C:\Users\%USERNAME%\.android\debug.keystore -alias androiddebugkey -storepass android -keypass android,,0
code,kotlin,"import androidx.compose.runtime.getValue
// ...
val navTarget by navVM.navTarget.collectAsState(initial = ""home"")
// without getValue import:
// Type 'androidx. compose. runtime. State<kotlin. Any?>' has no method 'getValue(Nothing?, KProperty0<*>)', so it cannot serve as a delegate.",,1
code,bash,su -s /bin/bash <user>,,2
code,bash,sudo -E foobar,,3
code,bash,if test -d cisco_bindings; then echo exists; else echo does not; fi,,4
text,,"in a row with 2 cells of different heights, clip the row to be the height of the **shortest** cell",,5
code,html,"<main class=""w-screen h-screen"">

  <div class=""flex flex-row w-full gap-1 relative""> // 1. row is relative
     
      <div class=""w-10/12 border border-red-500"">
        <div class=""bg-red-200 h-[200px] w-[10px]""></div>
      </div>

      <div class=""w-2/12 shrink-0"" aria-hidden /> // (don't get exactly what this is for)

      <div class=""absolute top-0 bottom-0 overflow-scroll right-0 w-2/12 border border-blue-500""> // 2. cell to clip (taller cell) is absolute, overflow is hidden and top + bottom are 0. this sizes the div to be the height of the parent container (specified by the red  cell)
        <div class=""bg-blue-200 h-[500px] w-[10px]""></div>
      </div>

  </div>

</main>
",,5
code,,".foo
  .bar
  .bar2
  .bar3",,6
code,,"body{
  background: black;
}
div{ width: 100px; height: 100px; border: 1px solid white;}
.foo{
  width: 80%;
  display: flex;
  position: relative; /* this is crucial! default is `static` _not_ `relative` */
}
.bar{
  background: lightgrey;
  position: absolute;
  right: 0;
}",,6
code,css,"body{
    max-height: 99vh;
}",,7
code,html,"<div id=""foo"">
  <p>foo</p>
</div>
<div id=""bar"">
  <p>bar</p>
</div>",,8
code,css,"#foo{
  position: absolute;
  background: red;
  width: 100px;
  height: 100px;
  left: 50px;
  top: 50px;
  color: black;
  text-align: right;
}
#bar{
  position: absolute;
  background: blue;
  width: 100px;
  height: 100px;
  color: white;
  text-align: right;
  pointer-events: none; /* click + hover are disabled for this */
}",,8
code,typescript,"let foo = document.getElementById(""foo"") as HTMLElement;
let bar = document.getElementById(""bar"") as HTMLElement;
foo.addEventListener(""mouseover"", e => console.log(""foo hover"")});
foo.addEventListener(""click"", e => console.log(""foo click"")});
bar.addEventListener(""mouseover"", e => console.log(""bar hover"")});
bar.addEventListener(""click"", e => console.log(""bar click"")});",,8
code,css,"background:
	var(--noise), /* url(""noise svg here"") */
	radial-gradient(circle at center, rgb(255,255,255) 0%, rgba(0,0,0,1) 50%);
background-size: cover;
background-blend-mode: multiply;
mix-blend-mode: screen;",,9
code,bash,cue eval schema.cue --out json,,10
code,bash,"curl localhost:3000/workflow -X POST  -H 'Content-Type: application/json' --data-binary ""@data.json""",,11
code,bash,docker builder prune,,12
code,bash,"curl -fsSL https://get.docker.com -o get-docker.sh
sh get-docker.sh
sudo usermod -aG docker $USER
newgrp docker",,13
code,shell,"docker ps -a --format ""{{.Names}}""",,14
code,shell,"docker run \
    ...
    --health-cmd ""set -e;  nc -zv localhost 22; if [ $? -eq 0 ]; then exit 0; else exit 1; fi"" \
    --health-interval=10s
    ...",,15
code,bash,"# set to working version
DOCKER_API_VERSION=1.41",,17
code,bash,"docker ps --format ""{{printf \""%-30s %-20s\"" .Names .Status}}""",,19
code,bash,"watch 'docker ps --format ""{{printf \""%-30s %-20s\"" .Names .Status}}""'",,19
code,bash,"git config --global user.email ""you@example.com""
git config --global user.name ""Your Name""",,20
code,bash,"git config --global credential.helper cache
git config --local credential.helper cache
git config --global --unset credential.helper",,21
code,bash,git clone https://bitbucket.org/<repo>.git --config credential.helper=,,22
text,,go fmt on current directory go files and all subdirectories,,23
text,,mutex classes,,23
text,,sync.RWLock(),,23
text,,sync.Once,,23
text,,`struct`s cannot be `const` because they're inherently composite types,,23
code,golang,"(func(args... interface{}){})(scrape_cpu, scrape_hostname)",,24
code,golang,go fmt ./...,,24
code,go,"type Person struct {
  Name string
}
func (p *Person) Talk() {
  fmt.Println(""Hi, my name is"", p.Name)
}
type Android struct {
  Person // Android is also type Person!
  Model string
}
a := new(Android)
a.Person.Talk()
a.Talk() // polymorphism!",,25
text,,"  - sync.RWLock()
",,26
text,,"  - sync.Once
",,26
code,go,"var Foo string
// runs like package constructor
func init(){
    Foo = ""foobar""
}",,27
code,go,"func getLastLetterRecursivley(word string) {
    type rFunc func(string, rFunc) // <- allows recursive function to be defined
    var f rFunc = func(word string, f rFunc) {
        if len(word) == 1 {
            fmt.Println(""Last character is:"", word)
            return
        }
        f(word[len(word) - 1: ], f)
        return
    }
    go f(x, f)
    for {} // keep function running to we can still print
}",,28
code,go,"type StringOrInt interface{
	string | int
}
func main() {
	{
		var x = foo[int]()
		fmt.Println(x)
	}
	{
		var x = foo[string]()
		fmt.Println(x)
	}
	{
		var x = foo[bool]() // err
		fmt.Println(x)
	}
}
func foo[T StringOrInt]() []T {
	var x T
	return []T{x}
}",,29
code,golang,"value, exists := foo[""bar""]
if (!exists) {}",,31
code,bash,"# https://go.dev/doc/install
wget <tar_from_https://go.dev/doc/install>
rm -rf /usr/local/go && tar -C /usr/local -xzf go1.20.3.linux-amd64.tar.gz
sudo ln -s /usr/local/go/bin/go /usr/bin/go
#sudo rm -rf /usr/local/go && sudo tar -C /usr/local -xzf go1.20.3.linux-amd64.tar.gz",,32
text,,"set `imagePullPolicy` to `Always`, then delete the pod, to easily update the pod with a newer image",,33
code,bash,kubectl rollout restart deployment/core-service  -n osna,,35
code,kotlin,"// typescript -> if (isTypeFoo()) doFooStuf()
// kotlin:
foo?.let { doFooStuff() }",,36
code,json,"{
    ""version"": ""2.0.0"",
    ""tasks"": [
        {
            ""label"": ""Build Kotlin File with Kotlinc"",
            ""type"": ""shell"",
            ""command"": ""kotlinc ${file} -include-runtime -d ${fileBasenameNoExtension}.jar"",
            ""group"": {
                ""kind"": ""build"",
                ""isDefault"":  ""**/*.kt""
            },
            ""problemMatcher"": [],
            ""windows"": {
                ""command"": ""kotlinc ${file} -include-runtime -d ${fileBasenameNoExtension}.jar""
            },
            ""presentation"": {
                ""echo"": true,
                ""reveal"": ""always"",
                ""focus"": false,
                ""panel"": ""shared""
            }
        },
        {
            ""label"": ""Build Kotiln Gradle project"",
            ""type"": ""shell"",
            ""command"": ""IF EXIST gradlew.bat (gradlew build -x test) ELSE (echo 'gradlew.bat not found in the project root' && exit /b 1)"",
            ""options"": {
                ""cwd"": ""${workspaceFolder}""
            },
            ""problemMatcher"": [],
            ""group"": {
                ""kind"": ""build"",
                ""isDefault"": false
            }
        },
        {
            ""label"": ""Run Kotiln Gradle project"",
            ""type"": ""shell"",
            ""command"": ""IF EXIST gradlew.bat (gradlew  run) ELSE (echo 'gradlew.bat not found in the project root' && exit /b 1)"",
            ""options"": {
                ""cwd"": ""${workspaceFolder}""
            },
            ""problemMatcher"": [],
            ""group"":{
                ""kind"": ""run""
            }
        }
    ]
}",,37
code,,"https://superuser.com/a/156215
x - extract files
c - create archive
t - list files
v - verbose (list files as it processes them)
j - use bz2 compression
z - use gz compression
f - read or write files to disk
Examples
Uncompress a tar.gz file: tar zxf tarball.tar.gz
Uncompress a tar.bz2 file: tar jxf tarball.tar.bz2
Create a tar.gz file: tar zcvf tarvall.tar.gz mydir/*",,38
code,bash,"jobs
> [1]+  Running                 poetry run main &
kill -9 %1
> [1]+  Killed                  poetry run main",,39
code,bash,"# view jobs
jobs
# send job to background and stop
ctrl  + z
# resume background job
bg [job id]
# switch to job
fg [job id]
# run command as background job
tail -f log.txt &",,40
code,bash,cd -P ./sym-link-dir,,41
code,bash,sudo netstat -tunlp,,42
code,bash,stat -c %a foo.txt,,43
